generated_json/autoware_prs.json,2015/11/12,5,3
generated_json/autoware_prs.json,2015/11/12,1,1
generated_json/autoware_prs.json,2015/11/12,142,106
generated_json/autoware_prs.json,2015/11/12,3,3
generated_json/autoware_prs.json,2015/11/13,1,1
generated_json/autoware_prs.json,2015/11/13,1,1
generated_json/autoware_prs.json,2015/11/16,1,1
generated_json/autoware_prs.json,2015/11/16,14,7
generated_json/autoware_prs.json,2015/11/16,1,1
generated_json/autoware_prs.json,2015/11/16,180,95
generated_json/autoware_prs.json,2015/11/17,6,0
generated_json/autoware_prs.json,2015/11/18,5,0
generated_json/autoware_prs.json,2015/11/19,31,16
generated_json/autoware_prs.json,2015/11/19,4,4
generated_json/autoware_prs.json,2015/11/19,73,18
generated_json/autoware_prs.json,2015/11/19,105,95
generated_json/autoware_prs.json,2015/11/19,53,22
generated_json/autoware_prs.json,2015/11/25,101,55
generated_json/autoware_prs.json,2015/11/26,11940,508
generated_json/autoware_prs.json,2015/11/27,140,0
generated_json/autoware_prs.json,2015/11/30,2,1
generated_json/autoware_prs.json,2015/12/02,140,10
generated_json/autoware_prs.json,2015/12/02,4,4
generated_json/autoware_prs.json,2015/12/02,5,5
generated_json/autoware_prs.json,2015/12/02,10,11
generated_json/autoware_prs.json,2015/12/03,20,19
generated_json/autoware_prs.json,2015/12/03,10688,12017
generated_json/autoware_prs.json,2015/12/04,60,52
generated_json/autoware_prs.json,2015/12/04,41,3
generated_json/autoware_prs.json,2015/12/04,75,21
generated_json/autoware_prs.json,2015/12/07,268,2
generated_json/autoware_prs.json,2015/12/08,2,1
generated_json/autoware_prs.json,2015/12/08,5,5
generated_json/autoware_prs.json,2015/12/08,54,40
generated_json/autoware_prs.json,2015/12/08,27,23
generated_json/autoware_prs.json,2015/12/09,20,4
generated_json/autoware_prs.json,2015/12/10,25,3
generated_json/autoware_prs.json,2015/12/11,100,5
generated_json/autoware_prs.json,2015/12/17,653,94
generated_json/autoware_prs.json,2015/12/17,34,34
generated_json/autoware_prs.json,2015/12/17,72,126
generated_json/autoware_prs.json,2015/12/17,84,133
generated_json/autoware_prs.json,2015/12/17,1779,1786
generated_json/autoware_prs.json,2015/12/17,9,1
generated_json/autoware_prs.json,2015/12/17,90,83
generated_json/autoware_prs.json,2015/12/18,18,5
generated_json/autoware_prs.json,2015/12/18,21,3
generated_json/autoware_prs.json,2015/12/18,701,0
generated_json/autoware_prs.json,2015/12/18,4,3
generated_json/autoware_prs.json,2015/12/22,60,9
generated_json/autoware_prs.json,2015/12/22,4,2
generated_json/autoware_prs.json,2015/12/22,45,3
generated_json/autoware_prs.json,2015/12/23,30,2
generated_json/autoware_prs.json,2015/12/24,132,71
generated_json/autoware_prs.json,2015/12/24,175,18
generated_json/autoware_prs.json,2015/12/24,7,7
generated_json/autoware_prs.json,2015/12/24,0,0
generated_json/autoware_prs.json,2015/12/25,2,2
generated_json/autoware_prs.json,2015/12/25,65,3
generated_json/autoware_prs.json,2015/12/27,44,28
generated_json/autoware_prs.json,2015/12/28,4,2
generated_json/autoware_prs.json,2015/12/28,5,4
generated_json/autoware_prs.json,2016/01/06,0,0
generated_json/autoware_prs.json,2016/01/06,35,72
generated_json/autoware_prs.json,2016/01/09,1,1
generated_json/autoware_prs.json,2016/01/14,13,5
generated_json/autoware_prs.json,2016/01/14,22,22
generated_json/autoware_prs.json,2016/01/14,4,4
generated_json/autoware_prs.json,2016/01/14,31,3
generated_json/autoware_prs.json,2016/01/15,175,195
generated_json/autoware_prs.json,2016/01/15,72,0
generated_json/autoware_prs.json,2016/01/17,1,1
generated_json/autoware_prs.json,2016/01/18,63,14
generated_json/autoware_prs.json,2016/01/19,150,226
generated_json/autoware_prs.json,2016/01/19,1,0
generated_json/autoware_prs.json,2016/01/19,17,3
generated_json/autoware_prs.json,2016/01/19,8,2
generated_json/autoware_prs.json,2016/01/19,38,19
generated_json/autoware_prs.json,2016/01/20,30,4
generated_json/autoware_prs.json,2016/01/21,2,14
generated_json/autoware_prs.json,2016/01/22,14,12
generated_json/autoware_prs.json,2016/01/22,22,1
generated_json/autoware_prs.json,2016/01/22,39,19
generated_json/autoware_prs.json,2016/01/26,3,0
generated_json/autoware_prs.json,2016/01/26,13,0
generated_json/autoware_prs.json,2016/01/26,1,1
generated_json/autoware_prs.json,2016/01/28,4,4
generated_json/autoware_prs.json,2016/01/29,12,241
generated_json/autoware_prs.json,2016/01/29,13,5
generated_json/autoware_prs.json,2016/01/30,69,476
generated_json/autoware_prs.json,2016/02/01,12,5
generated_json/autoware_prs.json,2016/02/01,19,4
generated_json/autoware_prs.json,2016/02/01,1,0
generated_json/autoware_prs.json,2016/02/01,0,0
generated_json/autoware_prs.json,2016/02/01,5,2
generated_json/autoware_prs.json,2016/02/02,4,1
generated_json/autoware_prs.json,2016/02/02,96,5
generated_json/autoware_prs.json,2016/02/03,17,13
generated_json/autoware_prs.json,2016/02/09,7,1
generated_json/autoware_prs.json,2016/02/10,5826,181
generated_json/autoware_prs.json,2016/02/11,640,852
generated_json/autoware_prs.json,2016/02/14,0,1
generated_json/autoware_prs.json,2016/02/15,89,33
generated_json/autoware_prs.json,2016/02/16,21,0
generated_json/autoware_prs.json,2016/02/17,33,11
generated_json/autoware_prs.json,2016/02/24,4,4
generated_json/autoware_prs.json,2016/03/01,23,6
generated_json/autoware_prs.json,2016/03/01,726,99
generated_json/autoware_prs.json,2016/03/02,3,1
generated_json/autoware_prs.json,2016/03/03,5,2
generated_json/autoware_prs.json,2016/03/03,20,3
generated_json/autoware_prs.json,2016/03/03,0,19
generated_json/autoware_prs.json,2016/03/03,10,17
generated_json/autoware_prs.json,2016/03/03,61,46
generated_json/autoware_prs.json,2016/03/04,16,17
generated_json/autoware_prs.json,2016/03/08,78,74
generated_json/autoware_prs.json,2016/03/11,5,6
