date, autoware_contributors, code_contributors, community_contributors
2015/08/26,1,1,0
2015/08/31,2,2,0
2015/09/03,3,3,0
2015/09/04,4,4,0
2015/09/07,6,6,0
2015/09/09,7,7,0
2015/09/10,9,9,0
2015/09/11,10,10,0
2015/09/16,11,11,0
2015/09/25,11,11,3
2015/10/16,12,12,3
2015/10/17,13,12,4
2015/10/24,14,13,4
2015/10/28,15,14,4
2015/11/06,16,15,5
2015/11/12,16,15,6
2016/01/12,16,15,7
2016/01/13,17,15,8
2016/01/14,17,15,9
2016/01/16,18,16,9
2016/02/15,19,16,10
2016/04/01,19,16,11
2016/04/21,20,16,12
2016/04/22,20,17,12
2016/04/27,21,17,14
2016/04/28,22,17,15
2016/05/03,22,17,16
2016/05/04,23,17,17
2016/05/09,24,17,18
2016/05/23,24,17,19
2016/05/31,26,18,20
2016/06/06,27,18,21
2016/06/15,28,18,22
2016/06/19,28,18,23
2016/07/04,29,19,23
2016/07/05,31,19,25
2016/07/09,32,19,26
2016/07/15,33,19,27
2016/07/17,34,19,28
2016/07/21,36,19,31
2016/07/29,37,19,32
2016/08/08,38,19,33
2016/08/12,39,19,34
2016/08/18,40,19,35
2016/08/20,41,19,36
2016/08/25,43,19,38
2016/08/29,44,20,38
2016/09/05,45,20,39
2016/09/06,46,20,40
2016/09/07,47,20,42
2016/10/10,48,20,43
2016/10/13,50,21,45
2016/10/25,51,23,45
2016/11/03,52,23,46
2016/11/07,53,23,47
2016/11/15,54,23,48
2016/11/17,56,24,49
2016/11/27,57,24,50
2016/12/02,59,24,52
2016/12/03,60,24,53
2016/12/04,61,25,53
2016/12/16,62,25,54
2016/12/31,63,25,55
2017/01/06,64,25,56
2017/01/09,65,25,57
2017/01/13,66,26,57
2017/01/16,67,26,58
2017/01/26,68,26,59
2017/01/31,70,26,61
2017/02/01,71,27,61
2017/02/07,72,27,62
2017/02/15,73,27,63
2017/03/07,74,27,64
2017/03/09,75,27,65
2017/03/10,76,28,65
2017/03/13,77,28,66
2017/03/17,78,29,66
2017/03/22,79,29,67
2017/03/23,80,29,68
2017/03/30,81,29,69
