date, autoware_contributors, code_contributors, community_contributors
2017/03/31,82,29,70
2017/04/06,84,30,71
2017/04/07,85,31,71
2017/04/10,87,32,72
2017/04/11,88,32,73
2017/04/19,89,32,74
2017/04/24,90,32,75
2017/04/26,91,33,75
2017/04/30,92,33,76
2017/05/01,93,33,77
2017/05/02,94,33,78
2017/05/16,95,33,79
2017/05/17,96,34,79
2017/05/20,97,34,80
2017/05/23,98,35,80
2017/05/25,99,35,81
2017/05/26,100,35,82
2017/05/28,101,35,84
2017/05/30,102,36,85
2017/06/02,105,36,88
2017/06/05,106,36,89
2017/06/06,107,36,90
2017/06/07,108,36,91
2017/06/08,109,36,92
2017/06/09,110,37,92
2017/06/13,111,37,93
2017/06/14,112,37,94
2017/06/15,114,38,96
2017/06/16,115,38,98
2017/06/17,116,38,99
2017/06/20,117,38,100
2017/06/23,119,38,102
2017/06/27,120,38,104
2017/06/28,122,38,106
2017/06/30,122,39,106
2017/07/07,123,39,107
2017/07/09,124,40,107
2017/07/10,124,40,108
2017/07/13,125,41,108
2017/07/15,126,41,109
2017/07/18,127,41,110
2017/07/19,128,41,111
2017/07/21,130,41,113
2017/07/22,131,41,114
2017/07/24,132,41,115
2017/07/25,133,41,116
2017/07/26,134,41,117
2017/07/28,135,42,118
2017/08/04,136,43,118
2017/08/06,137,43,119
2017/08/08,139,43,121
2017/08/09,140,43,122
2017/08/17,141,43,123
2017/08/21,142,43,124
2017/08/23,143,43,125
2017/08/31,144,43,126
2017/09/06,145,43,127
2017/09/12,146,43,128
2017/09/18,148,44,129
2017/09/19,150,44,131
2017/09/20,152,45,132
2017/09/21,153,45,133
2017/09/26,155,45,136
2017/09/29,156,45,137
2017/10/03,157,45,138
2017/10/17,158,45,139
2017/10/18,158,45,140
2017/10/19,159,45,141
2017/10/23,160,45,142
2017/10/24,161,45,143
2017/10/25,161,46,143
2017/10/26,164,46,146
2017/10/28,164,47,146
2017/10/30,165,48,146
2017/10/31,166,48,147
2017/11/02,167,48,148
2017/11/06,168,48,149
2017/11/07,170,48,151
2017/11/08,171,50,151
2017/11/10,171,50,152
2017/11/14,173,51,154
2017/11/19,174,51,155
2017/11/21,175,51,156
2017/11/22,175,52,156
2017/11/23,176,52,157
2017/11/24,177,52,158
2017/11/27,180,52,161
2017/11/28,180,53,161
2017/11/30,181,53,162
2017/12/05,182,53,163
2017/12/06,183,54,163
2017/12/07,184,55,163
2017/12/10,185,55,164
2017/12/11,186,55,165
2017/12/18,187,56,165
2017/12/19,188,56,166
2017/12/21,189,56,167
2017/12/22,190,56,168
2017/12/25,191,56,169
2017/12/31,191,56,170
2018/01/06,192,56,171
2018/01/09,193,56,172
2018/01/11,194,56,173
2018/01/12,196,56,175
2018/01/18,197,56,176
2018/01/25,198,56,177
2018/01/26,199,56,178
2018/01/27,200,56,179
2018/01/28,201,56,180
2018/01/30,203,56,182
2018/01/31,205,57,183
2018/02/05,206,57,184
2018/02/06,207,57,185
2018/02/09,208,57,186
2018/02/12,209,57,187
2018/02/13,209,57,188
2018/02/16,211,57,190
2018/02/20,213,57,192
2018/02/21,214,57,193
2018/02/22,215,58,193
2018/02/24,216,58,194
2018/02/26,216,58,195
2018/02/27,218,58,197
2018/02/28,219,58,198
2018/03/02,221,59,200
2018/03/05,225,60,203
2018/03/06,227,60,205
2018/03/07,227,61,205
2018/03/08,229,61,207
2018/03/11,231,61,209
2018/03/15,233,61,211
2018/03/16,234,61,212
2018/03/17,235,61,213
2018/03/18,236,61,214
2018/03/19,237,62,215
2018/03/20,238,62,216
2018/03/21,240,62,218
2018/03/27,241,62,219
2018/03/28,242,63,219
2018/03/30,244,64,221
2018/04/04,246,64,223
2018/04/11,247,64,224
2018/04/12,247,64,225
2018/04/13,249,64,227
2018/04/15,250,64,228
2018/04/16,250,64,229
2018/04/17,251,64,230
2018/04/19,252,64,231
2018/04/20,254,64,233
2018/04/23,255,64,234
2018/04/24,257,64,236
2018/04/25,258,65,236
2018/04/26,259,66,237
2018/04/27,260,67,238
2018/05/03,261,68,238
2018/05/07,263,68,240
2018/05/08,264,69,241
2018/05/09,264,69,242
2018/05/10,265,69,243
2018/05/11,266,69,244
2018/05/14,268,69,247
2018/05/16,270,70,249
2018/05/23,271,70,250
2018/05/24,272,70,251
2018/05/27,273,70,252
2018/05/28,274,70,253
2018/05/30,276,70,255
2018/05/31,278,71,257
2018/06/01,279,72,257
2018/06/03,280,73,257
2018/06/05,281,73,258
2018/06/06,282,73,259
2018/06/07,283,73,260
2018/06/09,284,73,261
2018/06/11,285,73,262
2018/06/12,288,73,265
2018/06/13,289,73,266
2018/06/14,290,73,267
2018/06/17,291,74,268
2018/06/21,292,74,269
2018/06/22,293,74,270
2018/06/23,294,74,271
2018/06/25,296,74,273
2018/06/26,298,74,275
2018/06/27,299,74,276
2018/06/28,301,74,278
2018/07/04,302,75,278
2018/07/05,305,75,281
2018/07/06,306,75,282
2018/07/10,307,75,283
2018/07/12,308,75,284
2018/07/13,309,75,285
2018/07/16,310,76,285
2018/07/17,312,77,287
2018/07/18,313,77,288
2018/07/20,314,77,289
2018/07/24,314,77,290
2018/07/25,315,78,290
2018/07/27,318,78,293
2018/07/28,319,79,293
2018/07/29,320,79,294
2018/07/30,320,79,295
2018/08/01,321,79,296
2018/08/03,322,79,297
2018/08/07,323,79,298
2018/08/08,324,79,300
2018/08/09,325,80,301
2018/08/13,326,80,302
2018/08/14,327,80,303
2018/08/15,328,81,303
2018/08/16,329,81,304
2018/08/17,329,82,304
2018/08/18,330,82,305
2018/08/23,333,82,308
2018/08/24,335,83,310
2018/08/27,336,83,311
2018/08/29,337,83,312
2018/09/05,339,83,314
2018/09/06,340,83,315
2018/09/07,341,83,316
2018/09/08,342,83,317
2018/09/10,342,84,317
2018/09/11,343,84,318
2018/09/12,345,84,320
2018/09/14,346,84,321
2018/09/15,347,84,322
2018/09/16,348,84,323
2018/09/17,349,85,323
2018/09/18,351,85,325
2018/09/19,352,85,326
2018/09/20,353,85,327
2018/09/21,354,86,329
2018/09/24,356,88,330
2018/09/25,358,88,332
2018/09/27,359,88,333
2018/09/28,359,88,334
2018/10/02,361,88,336
2018/10/03,362,88,337
2018/10/08,363,89,338
2018/10/09,366,89,341
2018/10/10,368,90,343
2018/10/11,369,90,344
2018/10/14,370,90,345
2018/10/15,371,90,346
2018/10/16,371,91,346
2018/10/17,373,91,348
2018/10/18,375,91,351
2018/10/20,379,92,354
2018/10/23,380,92,355
2018/10/24,382,92,357
2018/10/26,383,93,358
2018/10/29,386,94,361
2018/10/30,387,94,362
2018/10/31,388,94,363
2018/11/02,390,94,365
2018/11/03,391,94,366
2018/11/05,393,94,368
2018/11/06,397,95,371
2018/11/09,398,96,372
2018/11/13,400,96,374
2018/11/14,402,96,376
2018/11/15,402,96,377
2018/11/18,403,96,378
2018/11/20,404,96,379
2018/11/21,406,96,382
2018/11/22,409,97,385
2018/11/23,411,97,387
2018/11/26,412,97,390
2018/11/27,413,97,392
2018/11/28,417,97,396
2018/11/29,419,97,398
2018/12/03,421,97,400
2018/12/05,423,97,402
2018/12/06,424,97,403
2018/12/07,426,98,405
2018/12/10,428,98,408
2018/12/13,429,99,408
2018/12/14,431,100,410
2018/12/17,432,100,411
2018/12/19,433,100,412
2018/12/28,435,101,414
2019/01/02,436,102,415
2019/01/03,439,102,418
2019/01/04,441,103,419
2019/01/07,442,103,421
2019/01/08,442,103,422
2019/01/10,443,103,423
2019/01/11,445,105,424
2019/01/13,446,105,425
2019/01/14,447,105,426
2019/01/15,449,105,428
2019/01/16,450,105,429
2019/01/17,451,105,430
2019/01/18,454,105,433
2019/01/21,455,105,434
2019/01/22,456,105,435
2019/01/23,458,105,437
2019/01/25,459,105,438
2019/01/27,460,105,439
2019/01/28,462,106,440
2019/01/30,466,106,444
2019/01/31,467,107,445
2019/02/01,468,108,446
2019/02/02,470,108,448
2019/02/04,471,108,449
2019/02/05,472,108,450
2019/02/07,473,108,451
2019/02/09,474,108,452
2019/02/10,475,108,453
2019/02/11,476,108,454
2019/02/12,478,108,456
2019/02/14,478,109,456
2019/02/15,480,109,458
2019/02/17,484,110,462
2019/02/18,485,110,463
2019/02/19,486,110,464
2019/02/20,487,110,465
2019/02/25,488,111,466
2019/02/26,490,112,468
2019/02/27,492,112,470
2019/02/28,492,113,470
2019/03/04,493,113,471
2019/03/05,495,113,473
2019/03/06,496,113,474
2019/03/07,497,114,474
2019/03/09,498,114,475
2019/03/10,498,115,475
2019/03/11,499,115,477
2019/03/12,500,115,478
2019/03/13,501,115,480
2019/03/14,505,116,483
2019/03/15,506,118,484
2019/03/17,508,119,485
2019/03/19,509,120,485
2019/03/20,510,120,486
2019/03/25,511,121,486
2019/03/26,512,121,487
2019/03/27,513,121,488
2019/03/29,514,121,489
2019/03/30,515,121,490
2019/04/02,518,121,493
2019/04/03,520,121,495
2019/04/08,522,122,497
2019/04/09,524,122,499
2019/04/10,527,122,502
2019/04/15,527,123,502
2019/04/16,528,124,503
2019/04/17,529,124,504
2019/04/19,530,124,505
2019/04/21,531,124,506
2019/04/24,531,124,507
2019/04/25,533,124,509
2019/04/27,534,124,510
2019/05/02,535,124,511
2019/05/06,536,124,512
2019/05/07,537,124,513
2019/05/08,537,125,513
2019/05/09,539,126,515
2019/05/10,540,126,516
2019/05/15,541,126,517
2019/05/16,542,126,518
2019/05/19,543,126,519
2019/05/20,544,126,520
2019/05/22,545,126,521
2019/05/23,546,126,522
2019/05/25,547,126,523
2019/05/27,547,127,523
2019/05/28,547,128,523
2019/05/29,548,129,523
2019/05/30,549,129,524
2019/06/03,550,129,525
2019/06/04,551,129,526
2019/06/05,552,129,527
2019/06/06,553,129,528
2019/06/12,554,129,529
2019/06/15,555,130,530
2019/06/17,557,130,532
2019/06/18,559,131,534
2019/06/19,560,131,535
2019/06/24,561,132,535
2019/06/25,562,132,536
2019/07/03,563,132,537
2019/07/07,564,132,538
2019/07/17,565,132,539
2019/07/22,566,132,540
2019/07/23,567,132,541
2019/07/24,568,132,542
2019/07/26,569,132,543
2019/07/29,570,132,544
2019/07/30,572,133,545
2019/08/13,573,133,546
2019/08/30,574,133,547
2019/09/11,575,133,548
2019/09/17,576,133,549
2019/09/18,577,133,550
2019/09/20,578,133,551
2019/09/30,579,133,552
2019/10/08,580,133,553
2019/10/13,581,133,554
2019/10/23,582,133,555
2019/10/25,583,133,556
2019/10/31,584,133,557
2019/11/11,585,133,558
2019/11/16,586,133,559
2019/11/21,588,133,561
2019/11/26,589,133,562
2019/12/01,590,133,563
2019/12/03,591,133,564
2019/12/15,592,133,565
2019/12/24,592,134,565
2020/01/13,593,134,566
2020/01/16,594,134,567
2020/01/17,594,135,567
2020/01/22,595,135,568
2020/02/03,596,135,569
2020/02/04,597,135,570
2020/02/18,598,135,571
2020/02/26,599,135,572
2020/03/04,600,135,573
2020/03/05,602,135,575
2020/03/08,604,135,577
2020/03/11,605,136,577
2020/03/16,606,136,578
2020/03/30,607,136,579
2020/04/01,609,136,581
2020/04/15,611,136,583
2020/04/18,612,136,584
2020/04/26,613,136,585
2020/05/13,614,136,586
2020/05/19,615,136,587
2020/05/20,616,137,587
2020/05/27,617,137,588
2020/06/19,618,138,588
2020/06/24,619,138,589
2020/06/25,619,139,589
2020/06/29,620,139,590
2020/07/07,622,139,592
2020/07/09,624,140,594
2020/07/10,625,140,595
2020/07/12,625,140,596
2020/07/13,627,141,597
2020/07/15,628,142,597
2020/07/18,629,142,598
2020/07/20,631,143,600
2020/07/21,631,145,600
2020/07/22,632,146,600
2020/07/23,633,146,601
2020/07/28,634,146,602
2020/07/29,635,146,603
2020/07/30,636,146,604
2020/08/03,638,147,605
2020/08/06,639,147,606
2020/08/20,640,147,607
2020/08/27,641,148,607
2020/09/03,642,149,607
2020/09/12,643,149,608
2020/09/15,644,149,609
2020/09/22,645,149,610
2020/09/24,645,150,610
2020/09/29,646,151,611
2020/10/02,647,151,612
2020/10/16,648,151,613
2020/10/17,649,151,614
2020/10/19,650,151,615
2020/10/20,653,151,618
2020/10/23,656,153,620
2020/10/26,657,153,621
2020/10/27,657,153,622
2020/10/30,657,154,622
2020/11/05,657,154,623
2020/11/10,658,154,624
2020/11/12,660,154,626
2020/11/13,661,154,627
2020/11/17,662,155,627
2020/11/18,664,156,628
2020/11/19,664,157,628
2020/12/01,665,157,629
2020/12/10,666,157,630
2020/12/21,667,157,631
2020/12/23,668,157,632
2021/01/04,669,157,633
2021/01/07,671,157,635
2021/01/11,671,158,635
2021/01/13,672,158,636
2021/01/26,673,158,637
2021/01/27,674,158,638
2021/01/28,675,159,639
2021/01/29,676,159,640
2021/02/01,677,159,641
2021/02/10,678,159,642
2021/03/06,679,159,643
2021/03/18,680,159,644
2021/03/24,681,159,645
2021/04/01,682,159,646
2021/04/08,684,159,648
2021/04/15,685,159,649
2021/04/16,686,159,650
2021/04/20,687,159,651
2021/04/22,688,159,652
2021/04/24,688,160,652
2021/04/30,689,160,653
2021/05/01,690,160,654
2021/05/10,691,160,655
2021/05/12,692,160,656
2021/05/18,692,161,656
2021/05/19,693,162,657
2021/05/21,694,162,658
2021/06/01,695,162,659
2021/06/10,696,162,660
2021/06/24,697,163,661
2021/06/26,698,163,662
2021/07/01,698,164,662
2021/07/13,699,164,663
2021/07/27,700,164,664
2021/08/05,702,164,666
2021/08/21,703,164,667
2021/09/13,704,164,668
2021/09/16,705,164,669
2021/09/27,706,164,670
2021/10/08,708,164,672
2021/10/11,710,164,674
2021/10/26,712,164,676
2021/11/06,713,164,677
2021/11/07,714,164,678
2021/11/10,715,164,679
2021/11/11,716,164,680
2021/11/17,717,164,681
2021/11/22,718,164,682
2021/11/30,723,169,684
2021/12/01,724,170,684
2021/12/02,724,170,685
2021/12/03,725,171,685
2021/12/04,725,171,686
2021/12/06,727,172,687
2021/12/08,728,172,688
2021/12/09,729,173,688
2021/12/10,731,174,689
2021/12/12,732,174,690
2021/12/15,734,174,692
2021/12/16,735,175,692
2021/12/22,736,175,694
2021/12/23,737,176,694
2021/12/24,739,177,695
2021/12/27,740,177,696
2021/12/28,742,178,697
2022/01/01,743,178,698
2022/01/05,744,179,698
2022/01/06,745,179,699
2022/01/07,745,179,700
2022/01/08,746,179,701
2022/01/10,747,179,702
2022/01/11,748,179,704
2022/01/13,751,181,706
2022/01/16,752,182,707
2022/01/18,753,184,708
2022/01/19,754,185,709
2022/01/21,755,186,709
2022/01/25,756,187,709
2022/01/27,758,188,710
2022/01/28,759,189,710
2022/01/31,761,191,710
2022/02/01,762,191,711
2022/02/02,763,192,711
2022/02/03,764,193,711
2022/02/04,765,193,712
2022/02/07,767,195,712
2022/02/08,767,195,713
2022/02/09,767,196,713
2022/02/10,768,196,714
2022/02/16,770,196,716
2022/03/01,771,197,717
2022/03/02,772,197,718
2022/03/04,773,198,718
2022/03/07,774,198,721
2022/03/08,775,198,722
2022/03/09,776,198,723
2022/03/11,777,198,724
2022/03/13,777,199,724
2022/03/15,780,200,727
2022/03/16,781,201,727
2022/03/17,782,201,728
2022/03/18,783,202,728
2022/03/21,784,203,728
2022/03/22,790,206,732
2022/03/23,790,207,733
2022/03/24,791,207,735
2022/03/25,792,207,736
2022/03/27,793,207,737
2022/03/28,794,207,739
2022/03/29,796,209,740
2022/03/30,799,209,744
2022/03/31,803,210,747
2022/04/01,806,210,750
2022/04/04,808,210,752
2022/04/05,810,210,754
2022/04/06,812,214,754
2022/04/07,812,214,755
2022/04/08,812,215,755
2022/04/11,815,215,759
2022/04/12,817,215,761
2022/04/13,818,216,762
2022/04/14,820,216,764
2022/04/15,825,216,769
2022/04/17,826,216,770
2022/04/19,827,216,772
2022/04/20,828,217,774
2022/04/21,828,218,774
2022/04/22,829,219,775
2022/04/25,830,221,775
2022/04/26,833,221,778
2022/04/27,834,221,779
2022/04/29,836,222,781
2022/05/05,837,222,782
2022/05/06,837,222,783
2022/05/09,840,223,785
2022/05/10,840,223,786
2022/05/11,841,223,787
2022/05/12,844,224,790
2022/05/13,845,224,791
2022/05/16,846,225,792
2022/05/18,849,228,793
2022/05/19,849,230,793
2022/05/20,851,230,795
2022/05/26,853,230,798
2022/05/27,854,230,799
2022/05/30,855,231,800
2022/05/31,857,234,800
2022/06/01,858,234,801
2022/06/02,859,234,802
2022/06/05,861,235,803
2022/06/06,865,235,807
2022/06/07,866,236,808
2022/06/08,867,236,809
2022/06/10,868,237,809
2022/06/14,869,238,810
2022/06/15,870,239,811
2022/06/16,872,239,813
2022/06/17,874,239,815
2022/06/20,878,239,819
2022/06/21,879,239,820
2022/06/22,880,239,821
2022/06/23,881,240,822
2022/06/25,881,241,822
2022/06/26,882,241,823
2022/06/27,882,242,823
2022/06/28,883,242,824
2022/06/29,884,243,824
2022/06/30,886,243,826
2022/07/01,887,244,826
2022/07/04,887,245,826
2022/07/06,888,246,827
2022/07/07,889,246,828
2022/07/11,891,246,830
2022/07/12,895,246,834
2022/07/13,896,246,835
2022/07/15,897,247,835
2022/07/18,899,247,837
2022/07/20,900,247,839
2022/07/21,901,248,839
2022/07/26,901,250,840
2022/07/27,902,250,841
2022/07/28,903,250,843
2022/08/01,904,250,844
2022/08/02,905,250,845
2022/08/03,907,250,847
2022/08/04,908,250,848
2022/08/05,909,250,849
2022/08/08,911,250,851
2022/08/09,912,251,852
2022/08/10,913,252,853
2022/08/12,913,253,853
2022/08/16,915,254,854
2022/08/18,915,255,854
2022/08/23,917,258,855
2022/08/26,918,258,856
2022/08/27,919,258,857
2022/08/28,920,258,858
2022/08/29,920,259,858
2022/08/30,921,259,859
2022/08/31,922,259,860
2022/09/01,923,259,861
2022/09/02,924,259,862
2022/09/03,925,259,863
2022/09/05,926,259,864
2022/09/06,927,259,865
2022/09/08,928,260,866
2022/09/10,929,260,867
2022/09/12,930,261,867
2022/09/13,932,261,869
2022/09/14,934,261,871
2022/09/15,935,262,872
2022/09/16,935,263,872
2022/09/18,936,264,872
2022/09/19,937,264,873
2022/09/20,938,264,874
2022/09/21,942,265,877
2022/09/22,942,265,878
2022/09/23,942,267,878
2022/09/26,943,267,879
2022/09/28,944,267,880
2022/10/03,945,267,881
2022/10/04,946,267,882
2022/10/05,947,267,883
2022/10/06,950,268,885
2022/10/07,951,270,886
2022/10/11,953,270,889
2022/10/12,954,270,890
2022/10/13,955,271,890
2022/10/17,956,272,891
2022/10/18,958,272,894
2022/10/20,959,272,896
2022/10/21,962,272,899
2022/10/22,962,273,899
2022/10/26,963,274,899
2022/10/28,963,275,899
2022/10/31,963,276,899
2022/11/01,964,276,900
2022/11/02,967,277,903
2022/11/03,971,278,906
2022/11/04,972,278,907
2022/11/07,973,279,908
2022/11/09,973,279,909
2022/11/11,974,279,910
2022/11/14,976,279,912
2022/11/15,977,279,913
2022/11/16,978,280,913
2022/11/17,978,282,913
2022/11/21,979,282,914
2022/11/22,979,282,915
2022/11/23,981,282,917
2022/11/24,983,282,919
2022/11/25,984,282,920
2022/11/28,986,282,922
2022/11/29,987,283,923
2022/12/01,987,284,923
2022/12/05,990,284,926
2022/12/06,990,285,926
2022/12/07,991,285,927
2022/12/08,993,285,929
2022/12/11,994,285,930
2022/12/12,996,285,932
2022/12/13,997,285,933
2022/12/15,999,285,935
2022/12/19,1000,285,936
2022/12/20,1004,286,939
2022/12/22,1008,287,942
2022/12/29,1009,287,943
2023/01/02,1010,287,944
2023/01/03,1010,288,944
2023/01/05,1011,289,944
2023/01/06,1012,289,945
2023/01/09,1013,289,946
2023/01/10,1014,289,947
2023/01/14,1015,290,947
2023/01/15,1016,290,948
2023/01/18,1018,290,950
2023/01/19,1019,290,951
2023/01/20,1020,291,951
2023/01/22,1021,291,952
2023/01/23,1022,291,953
2023/01/24,1024,292,955
2023/01/25,1026,292,957
2023/01/28,1027,292,958
2023/01/29,1028,292,959
2023/01/30,1029,293,959
2023/01/31,1030,294,960
2023/02/02,1033,294,963
2023/02/05,1034,295,963
2023/02/08,1034,296,963
2023/02/10,1035,297,964
2023/02/12,1037,297,966
2023/02/15,1038,298,967
2023/02/16,1039,298,969
2023/02/17,1040,298,972
2023/02/21,1041,298,973
2023/02/22,1042,298,974
2023/02/27,1043,298,975
2023/03/01,1044,299,977
2023/03/02,1046,300,979
2023/03/06,1047,300,980
2023/03/07,1051,300,984
2023/03/08,1052,301,984
2023/03/12,1053,301,985
2023/03/13,1057,302,988
2023/03/15,1059,302,990
2023/03/16,1061,302,992
2023/03/17,1061,302,993
2023/03/20,1063,303,994
2023/03/21,1065,303,996
2023/03/22,1065,304,996
2023/03/26,1065,305,996
2023/03/28,1065,306,996
2023/03/29,1069,307,999
2023/03/31,1070,308,1000
2023/04/03,1071,309,1000
2023/04/04,1073,309,1002
2023/04/06,1073,309,1003
2023/04/12,1075,310,1004
2023/04/13,1076,310,1005
2023/04/14,1078,310,1007
2023/04/17,1079,310,1008
2023/04/18,1080,310,1009
2023/04/20,1081,310,1010
2023/04/24,1082,310,1011
2023/04/25,1083,310,1012
2023/04/26,1085,311,1014
2023/04/28,1087,311,1016
2023/04/29,1088,311,1017
2023/05/03,1089,311,1018
2023/05/07,1091,311,1020
2023/05/08,1092,313,1020
2023/05/09,1094,313,1022
2023/05/10,1095,314,1025
2023/05/11,1096,315,1025
2023/05/12,1096,316,1025
2023/05/13,1097,316,1026
2023/05/16,1098,316,1027
2023/05/17,1101,317,1029
2023/05/19,1101,318,1029
2023/05/21,1102,318,1030
2023/05/22,1103,318,1031
2023/05/23,1105,319,1032
2023/05/25,1105,319,1033
2023/05/26,1106,319,1034
2023/05/31,1108,319,1036
2023/06/05,1111,319,1039
2023/06/06,1112,319,1040
2023/06/07,1113,320,1041
2023/06/08,1114,320,1042
2023/06/09,1116,320,1044
2023/06/11,1117,321,1045
2023/06/12,1119,322,1046
2023/06/13,1121,322,1048
2023/06/18,1122,322,1049
2023/06/19,1123,322,1051
2023/06/20,1123,323,1051
2023/06/23,1124,323,1052
2023/06/25,1126,323,1054
2023/06/26,1127,324,1055
2023/06/27,1128,324,1056
2023/06/28,1130,324,1058
2023/06/29,1131,324,1059
2023/06/30,1132,325,1059
2023/07/01,1133,325,1060
2023/07/03,1134,325,1061
2023/07/04,1136,325,1063
2023/07/05,1137,326,1064
2023/07/06,1138,326,1065
2023/07/08,1139,326,1066
2023/07/10,1140,326,1067
2023/07/11,1141,326,1068
2023/07/12,1142,326,1069
2023/07/14,1143,326,1070
2023/07/15,1144,326,1071
2023/07/18,1145,327,1071
2023/07/19,1146,327,1072
2023/07/20,1147,327,1073
2023/07/21,1148,327,1074
2023/07/23,1149,327,1075
2023/07/24,1150,327,1076
2023/07/25,1151,327,1077
2023/07/27,1155,328,1080
2023/07/28,1156,329,1081
2023/08/01,1158,331,1082
2023/08/02,1160,333,1083
2023/08/03,1163,334,1085
2023/08/04,1166,334,1088
2023/08/07,1168,335,1089
2023/08/08,1168,336,1089
2023/08/10,1171,336,1092
2023/08/16,1173,337,1093
2023/08/18,1175,338,1094
2023/08/20,1176,338,1095
2023/08/21,1179,339,1098
2023/08/23,1180,339,1099
2023/08/24,1182,340,1100
2023/08/25,1185,340,1103
2023/08/28,1186,340,1104
2023/08/31,1188,341,1105
2023/09/04,1190,341,1107
2023/09/05,1192,342,1109
2023/09/06,1195,342,1112
2023/09/07,1196,342,1113
2023/09/08,1196,343,1114
2023/09/09,1197,343,1115
2023/09/11,1200,344,1117
2023/09/12,1202,345,1118
2023/09/13,1202,346,1118
2023/09/14,1203,346,1119
2023/09/15,1207,348,1121
2023/09/18,1209,349,1123
2023/09/20,1210,352,1123
2023/09/22,1211,352,1124
2023/09/25,1212,352,1125
2023/09/26,1213,352,1126
2023/09/27,1215,352,1128
2023/10/04,1217,352,1130
2023/10/05,1218,353,1131
2023/10/06,1220,354,1132
2023/10/07,1221,355,1132
2023/10/10,1222,355,1133
2023/10/12,1223,355,1134
2023/10/13,1224,355,1135
2023/10/15,1225,355,1136
2023/10/16,1227,355,1138
2023/10/17,1228,356,1138
2023/10/18,1230,356,1141
2023/10/19,1232,356,1143
2023/10/24,1234,357,1144
2023/10/25,1236,359,1144
2023/10/26,1237,359,1145
2023/10/27,1238,359,1146
2023/10/29,1239,359,1147
2023/10/31,1240,359,1148
2023/11/01,1241,359,1149
2023/11/06,1242,359,1150
2023/11/08,1244,359,1152
2023/11/09,1244,360,1152
2023/11/13,1246,361,1153
2023/11/14,1249,363,1154
2023/11/15,1250,363,1155
2023/11/16,1253,365,1157
2023/11/17,1254,365,1158
2023/11/22,1254,366,1158
2023/11/27,1255,367,1159
2023/11/30,1256,367,1160
2023/12/01,1256,368,1160
2023/12/05,1258,369,1161
2023/12/06,1260,370,1162
2023/12/07,1260,370,1163
2023/12/08,1263,371,1165
2023/12/10,1264,371,1166
2023/12/11,1265,371,1167
2023/12/13,1266,372,1167
2023/12/14,1268,373,1168
2023/12/19,1269,374,1168
2023/12/20,1270,374,1169
2023/12/21,1270,375,1169
2023/12/24,1271,375,1170
2023/12/26,1272,376,1170
2023/12/28,1273,377,1170
2023/12/29,1274,377,1171
2024/01/02,1275,377,1172
2024/01/03,1276,377,1173
2024/01/05,1277,377,1174
2024/01/10,1277,378,1174
2024/01/11,1277,379,1174
2024/01/15,1277,380,1174
2024/01/16,1278,381,1174
2024/01/21,1279,381,1175
2024/01/23,1280,381,1176
2024/01/24,1281,381,1177
2024/01/25,1282,381,1178
2024/01/27,1283,381,1179
2024/01/31,1284,381,1180
2024/02/01,1285,383,1180
2024/02/02,1286,383,1181
2024/02/06,1287,384,1181
2024/02/07,1287,384,1182
2024/02/09,1288,384,1183
2024/02/13,1289,385,1183
2024/02/14,1290,386,1183
2024/02/18,1291,386,1184
