name;first date of contribution;company;org;awf-team
storrrrrrrrm;2022/04/15;@autocore-ai;autowarefoundation;autocore
beginningfan;2022/04/15;@autocore-ai;autowarefoundation;autocore
plane-li;2022/04/15;@autocore-ai;autowarefoundation;autocore
shulanbushangshu;2022/04/15;@autocore-ai;autowarefoundation;autocore
william-zhangshuai;2022/04/17;None;None;None
kminoda;2022/04/19;TIER IV;tier4, autowarefoundation;tier4
aohsato;2022/04/19;TIER IV;CPFL, tier4, autowarefoundation;tier4
scepter914;2022/04/19;TIER IV, Inc;tier4, autowarefoundation;tier4
YamatoAndo;2022/04/20;None;CPFL, tier4, autowarefoundation;tier4
yabuta;2022/04/20;None;CPFL, tier4, autowarefoundation;tier4
Denri006;2022/04/20;University of California, Riverside;rtenlab;None
crazydude123;2022/04/22;None;None;None
Mud-B;2022/04/25;None;None;None
ajay1606;2022/04/25;None;None;None
eratostennis;2022/04/26;TIER IV, Inc. Ex DeNA;CPFL, tier4, autowarefoundation;tier4
amtommy;2022/04/26;None;None;None
mojomex;2022/04/26;Tier IV;tier4, autowarefoundation;tier4
sglee-morai;2022/04/26;None;None;None
yuasabe;2022/04/27;None;tier4, autowarefoundation;tier4
chris-interplai;2022/04/29;None;None;None
waynejstaats;2022/04/29;None;None;None
LucaFos;2022/05/04;None;None;None
brian841102;2022/05/05;ITRI;autowarefoundation;itri
ito-san;2022/05/06;@tier4;tier4, autowarefoundation;tier4
mengmenghu-Alex;2022/05/09;None;None;None
anushamandalapu-tomtom;2022/05/09;None;None;None
HiroIshida;2022/05/10;University of Tokyo;None;None
JessicaTegner;2022/05/11;@uber ;None;None
RyuYamamoto;2022/05/12;TIER IV, Inc.;tork-a, citbrains, open-rdc, ros-japan-users, tier4, autowarefoundation;tier4
adamkrawczyk;2022/05/12;Aptiv;None;None
samehmohamed88;2022/05/12;Motional;None;None
raminterpl;2022/05/13;None;autowarefoundation;interplai
FabioSpano;2022/05/16;Minerva Systems;None;None
HamburgDave;2022/05/18;None;autowarefoundation;None
VRichardJP;2022/05/19;Macnica;autowarefoundation;macnica
mimimidododo;2022/05/20;None;None;None
NorahXiong;2022/05/20;@autocore-ai;autowarefoundation;autocore
hakuturu583;2022/05/24;TIER Ⅳ.inc;CPFL, tier4, OUXT-Polaris;tier4
mertyavuz41;2022/05/25;Adastec;None;None
xqe2011;2022/05/26;None;None;None
takam5f2;2022/05/26;TIER IV, inc.;None;tier4
alanmengg;2022/05/27;None;None;None
TomohitoAndo;2022/05/30;TIER IV, Inc;CPFL, tier4, autowarefoundation;tier4
sisaha9;2022/05/30;None;VectorAero, Triton-AI, UCSDAutonomousVehicles2021Team1, UCSD-ECEMAE-148, UCSD-DSC178, autonomous-karting-series, ROAR-Collaboration, avamobility;None
hatem-darweesh;2022/05/31;Nagoya University;None;None
andrejpadilha2;2022/06/01;Seazone;None;None
Hyeongseok-Jeon;2022/06/02;None;autowarefoundation;None
koraykoca;2022/06/05;BMW Group;None;None
CagriCatik;2022/06/06;None;None;None
vios-fish;2022/06/06;@tier4 ;CPFL, uchidalab, tier4;tier4
samet-kutuk;2022/06/06;@leo-drive;autowarefoundation;None
bariskapaligoz;2022/06/06;None;None;None
JToolGD;2022/06/07;None;None;None
mikechan0731;2022/06/08;ITRI;None;None
TomoyukiaW;2022/06/14;MACNICA;None;None
drwnz;2022/06/14;TIER IV, Nagoya University;CPFL, tier4, autowarefoundation;tier4
Soohyeok-Park;2022/06/15;MORAI Inc.;None;None
ataparlar;2022/06/16;@leo-drive ;itu-rover, autowarefoundation;leodrive
tecena;2022/06/16;None;None;None
liuzf1988;2022/06/17;None;None;None
cyn-liu;2022/06/17;None;tier4, autowarefoundation;autocore
LevieSun;2022/06/20;None;None;None
may012345;2022/06/20;None;None;None
Zeysthingz;2022/06/20;Leo Drive;autowarefoundation, VisionX-Plant-Pathology-Team;leodrive
QZJGeorge;2022/06/20;None;autowarefoundation;None
MichaelShen97;2022/06/21;None;None;None
nonlinear1;2022/06/22;None;None;None
anhnv3991;2022/06/22;None;CPFL, tier4, autowarefoundation;tier4
kielczykowski-rai;2022/06/22;@RobotecAI ;tier4, autowarefoundation;robotec
aforlano;2022/06/23;None;None;None
QipiaoZhou;2022/06/27;None;None;None
jihwankimqd;2022/06/28;None;None;None
JordanCrawfordx;2022/06/30;None;None;None
deansaco;2022/06/30;None;None;None
karmenlu;2022/07/06;None;autowarefoundation;None
MrOCW;2022/07/07;None;None;None
Kei-OO;2022/07/11;None;None;None
EcotronCorp;2022/07/11;Ecotron;Ecotron-Corp;None
knzo25;2022/07/12;@tier4 ;tier4, autowarefoundation;tier4
sujithvemi;2022/07/12;None;autowarefoundation;interplai
MertClk;2022/07/12;LeoDrive.ai;tier4, autowarefoundation;leodrive
DeepakVellampalli;2022/07/12;None;None;None
nabetetsu;2022/07/13;None;None;tier4
NilaySener;2022/07/18;None;autowarefoundation;leodrive
hasanzfdn;2022/07/18;Autonoma inc.;autowarefoundation, AeskAutonomous;None
ktro2828;2022/07/20;@tier4;tier4, autowarefoundation;tier4
gayar-helm;2022/07/20;None;None;None
twbabyduck;2022/07/26;None;None;None
djargot;2022/07/26;None;tier4, autowarefoundation;None
SyahirMuzni;2022/07/27;None;None;None
nobuotakamasa;2022/07/28;None;tier4;tier4
kasper-helm;2022/07/28;None;None;None
Light7Rain;2022/08/01;None;None;None
youxiho1;2022/08/02;Nankai University;None;None
Gian-Alessio;2022/08/03;None;None;None
lijiaming5550;2022/08/03;None;None;None
momala;2022/08/04;None;None;None
kaola0504;2022/08/05;None;None;None
takeshi-iwanari;2022/08/08;@tier4;None;None
Croquembouche;2022/08/08;None;autowarefoundation;wsu
WfHit;2022/08/09;None;None;None
kenichirohatayama;2022/08/09;TIER 4;tier4;tier4
PatelPurav05;2022/08/10;None;None;None
jiangguoding;2022/08/16;None;None;None
lhakim85;2022/08/23;None;autowarefoundation;reka
tkm2261;2022/08/26;None;None;None
siyouluo;2022/08/28;上海交通大学;None;None
bdcong;2022/08/30;None;None;None
chenzhengxi;2022/08/31;None;None;None
paolacanuto;2022/09/01;None;None;None
Ruben0407;2022/09/02;None;None;None
fightingnoble;2022/09/03;Peking University;None;None
msanchezvicom;2022/09/05;None;None;None
phkarle;2022/09/06;@TUMFTM;autowarefoundation;tum
lilyildiz;2022/09/08;Yıldız Techincal University;None;None
lilyrosecarnation;2022/09/13;None;None;None
jfqureshi;2022/09/13;None;None;None
AminoACID123;2022/09/14;None;None;None
lchojnack;2022/09/14;@RobotecAI ;tier4, autowarefoundation;robotec
akorb;2022/09/15;None;None;None
gaokao123;2022/09/19;None;None;None
domajstorovic;2022/09/20;Technical University of Munich;None;None
leonlee723;2022/09/21;None;None;None
osholsonel20;2022/09/21;OSHCORP - Advanced Products;None;None
evshary;2022/09/22;None;Adlink-ROS, autowarefoundation;adlink
pjj707278870;2022/09/26;None;None;None
enesadastec;2022/09/28;None;None;None
LuckyDog666;2022/10/03;None;None;None
jfkkf123;2022/10/04;None;None;None
PeterMal0ne;2022/10/05;None;None;None
Minsu-Kim1822;2022/10/06;None;None;None
RalphGarson;2022/10/06;None;None;None
Mingyu1991;2022/10/07;None;autowarefoundation;None
simon-t4;2022/10/11;None;tier4;tier4
wjxjmj;2022/10/11;None;autowarefoundation;autocore
smorita-esol;2022/10/11;None;None;None
StepTurtle;2022/10/12;Yıldız Technical University;autowarefoundation;leodrive
hayato-m126;2022/10/17;@tier4 ;tier4, autowarefoundation;tier4
timecrisis5;2022/10/18;None;None;None
ismetatabay;2022/10/18;Istanbul Technical University;tier4, autowarefoundation;leodrive
rsasaki0109;2022/10/18;MAP IV, Inc.;MapIV, tier4, autowarefoundation, AutomotiveAIChallenge;map4
sfukuta;2022/10/20;None;tier4;None
tleyden;2022/10/20;Indie Hacker (formerly Databricks);None;None
veqcc;2022/10/21;TIER IV;tier4, Goda-Research-Group, autowarefoundation;tier4
gurselturkeri;2022/10/21;None;None;None
ln879044;2022/10/21;None;None;None
ydcttt;2022/11/01;None;None;None
nainaigetuide;2022/11/02;None;None;None
malayjerdi;2022/11/02;None;None;None
liuXinGangChina;2022/11/02;autocore.ai;autowarefoundation;autocore
sethut1224;2022/11/02;None;None;None
liuypcoding;2022/11/03;None;None;None
masahi;2022/11/03;None;apache, dmlc, octoml;tier4
PaGu3;2022/11/03;None;None;None
tzu-lin-huang-128;2022/11/07;None;None;None
HansRobo;2022/11/09;TIER IV;naist-robotics, tier4, OUXT-Polaris, autowarefoundation, choreonoid, ibis-ssl, Kansai-SpringRobocon, ForteFibre;tier4
reinierkof;2022/11/11;None;None;None
mackierx111;2022/11/14;TIER IV;tier4, autowarefoundation;tier4
Madhuvd;2022/11/14;None;None;None
lionator;2022/11/15;Hochschule Heilbronn;None;None
