name;first date of contribution;company;org;awf-team
sahapratik5656;2023/06/09;None;None;None
zymouse;2023/06/09;pixmoving;None;None
prabanjanGITHUB;2023/06/11;None;None;None
yaukaizhi;2023/06/12;None;None;None
Tanishq30052002;2023/06/13;IIT(ISM) Dhanbad;None;None
JulioPlaced;2023/06/13;Univesity of Zaragoza;None;None
zeidk;2023/06/18;National Institute of Standards and Technology;None;None
lishizhen1412;2023/06/19;None;None;None
lixianqiang;2023/06/19;None;None;None
museas-azm;2023/06/23;None;None;None
Tom-Li-Lee;2023/06/25;None;autowarefoundation;autocore
sarubito;2023/06/25;None;Sirius-OIT;None
masahiro-kubota;2023/06/26;None;tier4, autowarefoundation;tier4
inwoong32;2023/06/27;None;None;None
egkim-kitech;2023/06/28;None;None;None
pedrorito;2023/06/28;@nap-it;nap-it;None
DaikiNiimi;2023/06/29;None;None;None
guchangjun;2023/07/01;None;None;None
yoneyoneclub;2023/07/03;None;None;None
AhmadAmine998;2023/07/04;University of Pennsylvania;None;None
J-xinyu;2023/07/04;thu;None;None
felixf4xu;2023/07/05;None;None;None
pojenwang;2023/07/06;None;autowarefoundation;None
polurik;2023/07/08;None;tier4;None
SaltUhey;2023/07/10;None;tier4;None
tomaszkapron;2023/07/11;None;None;None
davidc0619;2023/07/12;Danlaw Inc.;autowarefoundation;None
mosss-code;2023/07/14;None;None;None
RogerJung;2023/07/15;None;None;None
fiwz789;2023/07/19;None;None;None
liangzhiqiang-lzq;2023/07/20;None;None;None
MlLearnerAkash;2023/07/21;PravaigDynamics;None;None
hoppss;2023/07/23;None;None;None
radolin;2023/07/24;SUSE;None;None
cho-jang-hyun;2023/07/25;Kyung Hee University;hyper-vision-2023;None
AElkenawy;2023/07/27;None;None;None
mebasoglu;2023/07/27;None;tier4, autowarefoundation, AeskAutonomous;leodrive
HarryMechatron;2023/07/27;None;None;None
yusufy1ld1z;2023/07/28;None;None;None
xoofee;2023/08/01;None;None;None
lpxiangyan9;2023/08/02;None;None;None
Kaipa-Charan;2023/08/03;None;None;None
pflee2002;2023/08/03;University of Texas Arlington;None;None
dilloncsr;2023/08/04;None;None;None
hdossaji94;2023/08/04;None;None;None
plainspoken-chris;2023/08/04;None;None;None
tl230419;2023/08/07;None;None;None
yama42326;2023/08/10;None;None;None
pandyah;2023/08/10;None;None;None
hzkkk1997;2023/08/10;None;None;None
BritvaBo;2023/08/16;None;None;None
hakanaktass;2023/08/18;None;None;None
mdabir1203;2023/08/20;42 Wolfsburg;None;None
zzx568730371;2023/08/21;None;None;None
Rumika685;2023/08/21;RumiCar;RumiCar-group;None
MechanoPixel;2023/08/21;None;None;None
okataka123;2023/08/23;None;None;None
amc-nu;2023/08/24;MAP IV / TIER IV;CPFL, tier4, autowarefoundation;map4
phoenixGG;2023/08/24;None;None;None
muratgozum45;2023/08/25;None;None;None
RainBowAurora;2023/08/25;None;None;None
lawbreaker2022;2023/08/25;None;None;None
TAICHInoda;2023/08/28;None;None;None
whbcumtb;2023/08/31;None;autowarefoundation;None
qianxingqx;2023/09/04;None;None;None
lorenzzhao;2023/09/04;None;None;None
letsgoniaoniao;2023/09/05;None;None;None
TobiasMascetta;2023/09/05;None;None;None
gdengchao;2023/09/06;None;None;None
eromreve123;2023/09/06;None;None;None
dotun457;2023/09/06;None;None;None
xianglunkai;2023/09/07;None;None;None
jerry73204;2023/09/08;None;None;None
ziri4k;2023/09/09;None;None;None
hliu869;2023/09/11;None;None;None
mkakh;2023/09/11;None;tier4;None
greensky0802;2023/09/12;JDL;autowarefoundation;jdlogistics
dong-hub-png;2023/09/14;None;None;None
villaoningfootball;2023/09/15;None;autowarefoundation;jdlogistics
wbq0206;2023/09/15;None;autowarefoundation;jdlogistics
tianhuangshi;2023/09/18;None;None;None
adi-driveu;2023/09/18;None;None;None
cycyc1949;2023/09/22;None;autowarefoundation;jdlogistics
WyjFrogi;2023/09/25;None;None;None
yuanchao16;2023/09/26;None;None;None
doyan00;2023/09/27;None;None;None
aez99;2023/09/27;None;None;None
IDS-zhangxr;2023/10/04;None;None;None
idorobotics;2023/10/04;None;autowarefoundation, Autoware-AI;adastec
YuqiHuai;2023/10/05;UC Irvine;None;None
lukewarmtemp;2023/10/06;Red Hat;None;None
danicannt;2023/10/10;None;None;None
YashuMessi18;2023/10/12;None;None;None
KASUYASU;2023/10/13;None;None;None
Rrooach;2023/10/15;None;None;None
wifo130;2023/10/16;None;None;None
boyang9602;2023/10/16;None;None;None
danielsanchezaran;2023/10/18;@tier4 ;tier4, autowarefoundation;tier4
buraakozcan;2023/10/18;None;None;None
jp-amaral;2023/10/18;None;None;None
tseco15;2023/10/19;None;None;None
chavankunal;2023/10/19;None;None;None
stefanofio;2023/10/24;None;None;None
LouiMilvus;2023/10/26;None;None;None
jieunko;2023/10/27;None;None;None
klausmikealsontheking;2023/10/29;None;None;None
MrRubyRed;2023/10/31;None;HJReachability;None
harishkumarbalaji;2023/11/01;None;None;None
KRajeswarRao;2023/11/06;None;None;None
chivas1000;2023/11/08;None;None;None
npnquang;2023/11/08;None;None;None
ZiweiSong96;2023/11/13;City University of Hong Kong;None;None
srh-farghaly;2023/11/14;None;None;None
xunkaixin;2023/11/15;None;None;None
KJM-N;2023/11/16;None;None;None
danielvadranapuUB;2023/11/16;None;None;None
tfnh621;2023/11/17;Saitama Institute of Technology;saikocar;None
AmirInt;2023/11/27;None;None;None
nourhanMohamed0;2023/11/30;Faculty of Engineering, Helwan university;None;None
miharaka;2023/12/05;None;None;None
charan-rs;2023/12/06;None;None;None
yuki-takagi-66;2023/12/07;None;tier4, autowarefoundation;tier4
BeeLiu24;2023/12/08;东莞理工;None;None
xuyuan-han;2023/12/08;None;None;None
kungfrank;2023/12/10;None;None;None
sun421-cloud;2023/12/11;None;None;None
VietPT3502;2023/12/14;None;None;None
sabesp;2023/12/20;None;None;None
kev278;2023/12/24;None;WPI-MMR;None
bhagyashriwabhitkar;2023/12/29;None;None;None
wodone;2024/01/02;None;None;None
BBRAVEV;2024/01/03;None;None;None
proxi666;2024/01/05;None;None;None
xob-erx;2024/01/21;None;None;None
SilaLiu;2024/01/23;贵州韩凯斯智能技术有限公司;None;None
atanasko;2024/01/24;None;None;None
stevenbrills;2024/01/25;None;None;None
lethal233;2024/01/27;None;None;None
sgk-000;2024/01/31;GO Inc;None;None
maitelorente;2024/02/02;None;None;None
Ericpotato;2024/02/07;None;tier4, autowarefoundation;tier4
rohanNkhaire;2024/02/09;None;None;None
is-whale;2024/02/18;None;None;None
ahmaad-ansari;2024/02/20;None;None;None
0116lhc;2024/02/22;None;None;None
GenTakeyama;2024/02/22;None;tier4;None
enescingoz;2024/02/23;@elm-europe-am;None;None
HanJiaxing521;2024/02/25;City University of Hong Kong;None;None
luxapana;2024/02/28;None;None;None
4swinv;2024/02/29;None;None;None
tzhong518;2024/02/29;None;tier4, autowarefoundation;tier4
Kalpit-Vadnerkar;2024/02/29;Clemson University;None;None
shaoniandujianyiqingqiu;2024/03/02;None;None;None
doublesorrymaker;2024/03/03;None;None;None
Napolleon4;2024/03/03;None;None;None
berkaysahinaskar;2024/03/05;None;None;None
Close-Recover;2024/03/11;None;None;None
renzeyu888;2024/03/14;None;None;None
stefanAMB;2024/03/15;None;None;None
simon-eisenmann-driveblocks;2024/03/15;@driveblocks ;tier4, autowarefoundation;driveblocks
Owen-Liuyuxuan;2024/03/18;None;None;tier4
rugved42;2024/03/19;None;None;None
rajkumar-iyer;2024/03/19;None;None;None
RajkumarIyer-StreetDrone;2024/03/19;None;None;None
RoboCrafty;2024/03/20;None;None;None
melihyazgan;2024/03/20;FZI Forschungszentrum Informatik;None;None
chang330;2024/03/20;None;None;None
nivu;2024/03/20;@nunnarilabs @aicbe;aitamilnadu, nunnarilabs;None
congphase;2024/03/21;None;None;None
yoepav;2024/03/21;@fontys;None;None
zehranrgi;2024/03/21;None;None;None
MetehanGokmen;2024/03/21;None;None;None
wk123467;2024/03/22;None;None;None
marioney;2024/03/22;None;rosin-project, tud-cor;None
vividf;2024/03/25;TIER IV;tier4, autowarefoundation;tier4
gulbinkirikoglu;2024/03/25;None;None;None
dbaksoy;2024/03/25;None;None;None
masierralomby;2024/03/27;None;None;None
dnlvcnt-lab;2024/03/27;None;None;None
SujayAmberkar;2024/03/28;Viga Entertainment Tech.;autowarefoundation;None
mhmdrz-mirdamadi;2024/03/28;smart-mining.iut.ac.ir;None;None
technolojin;2024/03/29;TIER IV;tier4, autowarefoundation;tier4
zsan2023;2024/03/29;None;None;None
HAR0070;2024/03/30;None;None;None
luojiaxiang11;2024/04/01;None;None;None
Autumn60;2024/04/02;TIER IV, Inc.;tier4, autowarefoundation;tier4
zubxxr;2024/04/03;None;None;None
FahadRazaKhan;2024/04/04;Tohoku University;None;None
saina-ramyar;2024/04/04;None;None;None
ibrahimsel;2024/04/08;None;None;None
jouta15123;2024/04/08;None;None;None
sasakisasaki;2024/04/08;None;tier4, autowarefoundation;tier4
ohsawa1204;2024/04/10;None;tier4, autowarefoundation;tier4
woshinidiesb;2024/04/10;None;None;None
PigBroA;2024/04/11;None;None;None
sebekx;2024/04/12;None;None;None
JOLOC;2024/04/16;None;None;None
mohammad-deepen;2024/04/17;None;autowarefoundation;None
zeta-mobility;2024/04/18;None;None;None
GirijaBM;2024/04/19;None;None;None
yhisaki;2024/04/22;None;tier4, autowarefoundation;tier4
cemtolgamunyas;2024/04/23;None;None;None
youtalk;2024/04/24;@tier4;ros-japan-users, ros2-gbp, tier4, autowarefoundation;tier4
CristianGariboldi;2024/04/25;None;None;None
PPeltzerFka;2024/04/25;None;None;None
TimS120;2024/05/04;None;None;None
The-wind-rises-2023;2024/05/05;None;None;None
zhangcj13;2024/05/06;None;None;None
gaoyelu1996;2024/05/07;None;None;None
sgNicola;2024/05/08;None;None;None
zusizusi;2024/05/08;None;tier4, autowarefoundation;tier4
Howardcl;2024/05/11;None;None;None
ahsan155;2024/05/13;None;None;None
YujiroKanamori;2024/05/14;None;None;None
hupo4321;2024/05/15;None;None;None
EdoardoMolinatti;2024/05/15;Teoresi S.p.A;None;None
Lkaho;2024/05/15;Nanyang Technological University;None;None
zhiwango;2024/05/16;TIER IV;tier4;tier4
mkquda;2024/05/17;None;tier4, autowarefoundation;tier4
banban1029;2024/05/19;None;None;None
Reincaren;2024/05/21;None;None;None
HansOersted;2024/05/22;None;tier4, autowarefoundation;tier4
gitoabdelgawad;2024/05/22;None;None;None
LilHu7;2024/05/23;None;None;None
epris;2024/05/24;None;None;None
qiange666;2024/05/26;CRRC;None;None
DennyKuo0809;2024/05/27;None;None;None
kany-hsu;2024/05/27;macnica;None;None
lonfr;2024/05/29;None;None;None
TianYifan-Vincent;2024/05/30;Fudan University;None;None
DarrenQu;2024/05/31;None;None;None
nwpuhkp;2024/06/03;Northwestern Polytechnical University;None;None
LifeIsBinary;2024/06/05;None;None;None
VeeranjaneyuluToka;2024/06/06;Submerged AS;None;None
kaiyama12345679;2024/06/07;The University of Tokyo;tier4;None
DevankGarg;2024/06/10;None;None;None
thomasankara;2024/06/11;None;None;None
tomas-pinto;2024/06/12;Vision-Box;autowarefoundation;None
Bond-063;2024/06/13;None;None;None
wobuzhuchele;2024/06/14;None;None;None
nslookupalexios;2024/06/17;None;None;None
f0reachARR;2024/06/20;Kyoto Institute of Technology;tier4, StudioAquatan, ForteFibre, stop-covid19-kyoto;None
xiangl-ai;2024/06/21;None;None;None
mraditya01;2024/06/21;Nagoya University;None;None
yjj9266;2024/06/22;None;None;None
ike-kazu;2024/06/23;None;tier4;None
ExitedState;2024/06/24;None;None;None
palas21;2024/06/24;@ITU-ZES-Solar-Car-Team ;autowarefoundation;leodrive
LyZii;2024/06/26;None;None;None
chuanyiyang;2024/06/26;None;None;None
nisshan-x;2024/06/26;None;tier4, autowarefoundation;tier4
Andrey949101;2024/06/26;None;None;None
skill121790;2024/06/26;None;None;None
JunWu-ARM;2024/06/27;ARM;None;None
supithcha;2024/06/27;Faculty of ICT, Mahidol University;None;None
k-trash;2024/06/27;oub;None;None
ZhenshengLee;2024/06/28;None;ros2middleware, garcia-auto;None
Yaoye1120;2024/06/28;Beijing Institute of Technology;None;None
DavideGiancola;2024/06/28;None;None;None
SiHyun-Sung;2024/07/02;None;None;None
Ironman1508;2024/07/03;None;None;None
Try110;2024/07/04;西南科技大学;None;None
surajkhatal20;2024/07/05;None;None;None
KM-Hyun;2024/07/09;None;None;None
KTKTKT0401;2024/07/09;None;None;None
autonomtech;2024/07/10;@mechatnom;None;None
slivingston;2024/07/10;@rerobots;python-control, tulip-control, EPS-Con, JPLOpenSource, fmrchallenge, rerobots, kuaikai, oneplaneteducation;None
go-sakayori;2024/07/12;None;tier4, autowarefoundation;tier4
pedralmeida22;2024/07/12;None;None;None
huangxuan700;2024/07/13;None;None;None
Xrenya;2024/07/15;None;None;None
kumaraarvind;2024/07/17;None;None;None
tiagospp55;2024/07/17;None;None;None
a-maumau;2024/07/18;None;tier4;None
HCA-a;2024/07/21;None;None;None
danilo-pejovic;2024/07/21;None;None;None
mitukou1109;2024/07/22;The University of Tokyo;tier4;None
XIAONNNN;2024/07/22;CHONGQING UNIVERSITY;None;None
mbharatheesha;2024/07/25;None;None;None
feng123a52;2024/07/26;None;None;None
aemilio-Developer;2024/07/26;Università degli Studi di Salerno;None;None
ajaycrytek;2024/07/28;AJ CRYTEK;None;None
devingw;2024/07/29;None;None;None
WilliamFlinchbaugh;2024/07/31;Darwin Deason Institute for Cyber Security;None;None
HarithaKameswari13;2024/08/03;None;None;None
1111F11;2024/08/05;None;None;None
lostDeers;2024/08/08;@MorizeroDev;MorizeroDev;None
cjmodi306;2024/08/12;None;None;None
Aysenayilmaz;2024/08/14;None;tier4, autowarefoundation;leodrive
habby1012;2024/08/19;None;None;None
aucon78;2024/08/20;None;None;None
manikandanhu2016;2024/08/22;None;None;None
JacksonWeil;2024/08/25;None;None;None
bmaxdk;2024/08/25;Robotics Research Software Engineering;None;None
Sid-pawar-13;2024/08/26;None;None;None
silly-h;2024/08/26;None;None;None
taisa1;2024/08/27;The University of Tokyo;None;None
FZ-Broky;2024/08/30;None;None;None
soumya997;2024/09/01;Broke Company;MLXTREME;None
Hikigaya-Yukina;2024/09/03;None;None;None
woo-cie;2024/09/05;None;tier4;tier4
abizovnuralem;2024/09/05;None;None;None
cxj213;2024/09/08;None;None;None
Charly242;2024/09/09;None;None;None
