2022/01/01,1,1
2022/01/05,1,2
2022/01/06,2,4
2022/01/07,1,5
2022/01/08,2,7
2022/01/11,2,9
2022/01/12,3,12
2022/01/13,2,14
2022/01/18,3,17
2022/01/19,1,18
2022/01/20,1,19
2022/01/27,1,20
2022/01/31,1,21
2022/02/01,1,22
2022/02/02,1,23
2022/02/04,2,25
2022/02/07,2,27
2022/02/08,1,28
2022/02/10,1,29
2022/02/16,2,31
2022/03/01,1,32
2022/03/07,4,36
2022/03/09,1,37
2022/03/10,1,38
2022/03/11,1,39
2022/03/15,3,42
2022/03/17,1,43
2022/03/22,3,46
2022/03/23,1,47
2022/03/24,2,49
2022/03/25,1,50
2022/03/28,3,53
2022/03/29,1,54
2022/03/30,4,58
2022/03/31,4,62
2022/04/01,2,64
2022/04/04,2,66
2022/04/05,2,68
2022/04/07,1,69
2022/04/11,4,73
2022/04/12,2,75
2022/04/13,1,76
2022/04/14,2,78
2022/04/15,5,83
2022/04/17,1,84
2022/04/19,3,87
2022/04/20,3,90
2022/04/22,1,91
2022/04/25,2,93
2022/04/26,4,97
2022/04/27,1,98
2022/04/29,2,100
2022/05/04,1,101
2022/05/05,1,102
2022/05/06,1,103
2022/05/09,2,105
2022/05/10,1,106
2022/05/11,1,107
2022/05/12,3,110
2022/05/13,1,111
2022/05/16,1,112
2022/05/18,1,113
2022/05/19,1,114
2022/05/20,2,116
2022/05/24,1,117
2022/05/25,1,118
2022/05/26,2,120
2022/05/27,1,121
2022/05/30,2,123
2022/05/31,1,124
2022/06/01,1,125
2022/06/02,1,126
2022/06/05,1,127
2022/06/06,4,131
2022/06/07,1,132
2022/06/08,1,133
2022/06/14,2,135
2022/06/15,1,136
2022/06/16,2,138
2022/06/17,2,140
2022/06/20,4,144
2022/06/21,1,145
2022/06/22,3,148
2022/06/23,1,149
2022/06/27,1,150
2022/06/28,1,151
2022/06/30,2,153
2022/07/06,1,154
2022/07/07,1,155
2022/07/11,2,157
2022/07/12,4,161
2022/07/13,1,162
2022/07/18,2,164
2022/07/20,2,166
2022/07/26,2,168
2022/07/27,1,169
2022/07/28,2,171
2022/08/01,1,172
2022/08/02,1,173
2022/08/03,2,175
2022/08/04,1,176
2022/08/05,1,177
2022/08/08,2,179
2022/08/09,2,181
2022/08/10,1,182
2022/08/16,1,183
2022/08/23,1,184
2022/08/26,1,185
2022/08/28,1,186
2022/08/30,1,187
2022/08/31,1,188
2022/09/01,1,189
2022/09/02,1,190
2022/09/03,1,191
2022/09/05,1,192
2022/09/06,1,193
2022/09/08,1,194
2022/09/13,2,196
2022/09/14,2,198
2022/09/15,1,199
2022/09/19,1,200
2022/09/20,1,201
2022/09/21,2,203
2022/09/22,1,204
2022/09/26,1,205
2022/09/28,1,206
2022/10/03,1,207
2022/10/04,1,208
2022/10/05,1,209
2022/10/06,2,211
2022/10/07,1,212
2022/10/11,3,215
2022/10/12,1,216
2022/10/17,1,217
2022/10/18,3,220
2022/10/20,2,222
2022/10/21,3,225
2022/11/01,1,226
2022/11/02,4,230
2022/11/03,3,233
2022/11/07,1,234
2022/11/09,1,235
2022/11/11,1,236
2022/11/14,2,238
2022/11/15,1,239
2022/11/16,1,240
2022/11/21,1,241
2022/11/22,1,242
2022/11/23,2,244
2022/11/24,2,246
2022/11/25,1,247
2022/11/28,2,249
2022/11/29,1,250
2022/12/01,1,251
2022/12/05,3,254
2022/12/07,1,255
2022/12/08,2,257
2022/12/11,1,258
2022/12/12,2,260
2022/12/13,1,261
2022/12/15,2,263
2022/12/19,1,264
2022/12/20,3,267
2022/12/22,3,270
2022/12/29,1,271
2023/01/02,1,272
2023/01/06,1,273
2023/01/09,1,274
2023/01/10,1,275
2023/01/15,1,276
2023/01/18,2,278
2023/01/19,1,279
2023/01/22,1,280
2023/01/23,1,281
2023/01/24,1,282
2023/01/25,2,284
2023/01/28,1,285
2023/01/29,1,286
2023/01/31,1,287
2023/02/02,3,290
2023/02/10,1,291
2023/02/15,1,292
2023/02/16,2,294
2023/02/17,3,297
2023/02/21,1,298
2023/02/22,1,299
2023/02/27,1,300
2023/03/01,2,302
2023/03/02,2,304
2023/03/06,1,305
2023/03/07,4,309
2023/03/12,1,310
2023/03/13,3,313
2023/03/15,2,315
2023/03/16,2,317
2023/03/17,1,318
2023/03/20,1,319
2023/03/21,2,321
2023/03/29,3,324
2023/03/31,1,325
2023/04/04,2,327
2023/04/06,1,328
2023/04/12,1,329
2023/04/13,1,330
2023/04/14,2,332
2023/04/17,1,333
2023/04/18,1,334
2023/04/20,1,335
2023/04/24,1,336
2023/04/25,1,337
2023/04/26,2,339
2023/04/28,2,341
2023/04/29,1,342
2023/05/03,1,343
2023/05/07,2,345
2023/05/09,2,347
2023/05/10,3,350
2023/05/13,1,351
2023/05/16,1,352
2023/05/17,2,354
